350,0,0,0
351,0,0,1.5478e-05
352,0,0,4.5082e-05
353,0,0,0.00015303
354,6.5325e-05,0,4.1995e-05
355,1.4572e-06,0,0
356,1.7653e-05,0,0
357,7.1304e-05,0,0
358,0,0,0
359,3.8014e-05,0,3.6204e-05
360,5.7425e-06,0,2.1234e-05
361,0,0,6.4065e-06
362,0,0,2.9665e-05
363,0,0,3.1441e-05
364,0,0,0
365,0,0,0
366,0,0,0
367,0,0,8.3396e-06
368,0,0,5.6746e-06
369,0,0,0
370,0,8.1757e-07,0
371,0,1.0696e-07,2.042e-05
372,0,0,2.1959e-05
373,5.4287e-06,0,2.0468e-05
374,1.3837e-05,0,1.1595e-05
375,2.488e-06,0,1.7701e-05
376,0,0,1.9798e-05
377,0,7.7413e-07,1.0513e-05
378,0,1.0169e-06,1.101e-05
379,0,1.3046e-06,2.1226e-05
380,0,0,1.5534e-05
381,0,0,1.4044e-05
382,0,0,1.5569e-05
383,1.4745e-05,4.2004e-07,1.4649e-05
384,1.1886e-05,2.3835e-06,2.2201e-05
385,0,0,1.3502e-05
386,1.0762e-05,0,1.5132e-05
387,2.1033e-06,0,7.488e-06
388,0,0,2.1029e-05
389,0,0,1.6156e-05
390,0,0,2.6841e-05
391,1.5311e-06,1.4072e-06,2.9111e-05
392,4.8838e-07,4.4888e-07,1.9767e-05
393,0,0,1.2907e-05
394,0,6.0081e-06,7.2385e-06
395,0,0,2.6693e-05
396,6.227e-06,1.3736e-06,2.3454e-05
397,2.8421e-06,6.2694e-07,1.9884e-05
398,4.9578e-06,8.3845e-06,2.3337e-05
399,2.4768e-07,5.8614e-06,2.3202e-05
400,3.0636e-06,1.2971e-06,3.0682e-05
401,2.6131e-06,2.1135e-06,3.2038e-05
402,0,0,3.1452e-05
403,5.2912e-06,0,2.9544e-05
404,0,0,3.3068e-05
405,0,0,3.3476e-05
406,0,0,3.4981e-05
407,6.0699e-06,0,3.472e-05
408,4.0476e-06,3.1523e-06,4.0369e-05
409,2.1019e-07,3.8637e-08,4.9591e-05
410,1.643e-05,3.2265e-06,4.2337e-05
411,0,6.2362e-07,4.8095e-05
412,8.5764e-06,0,4.8936e-05
413,3.3318e-06,0,5.5764e-05
414,0,2.2404e-06,5.5835e-05
415,3.0463e-06,0,6.1803e-05
416,0,8.9906e-07,7.483e-05
417,4.7164e-07,2.7632e-06,7.9681e-05
418,1.0479e-05,1.7364e-06,9.5191e-05
419,1.1367e-06,1.0447e-07,9.7117e-05
420,5.3974e-06,2.8035e-07,0.00011691
421,2.5952e-06,2.9109e-06,0.00013169
